,index,datetime,active_cases
107,122,2020-06-16,1171959
108,123,2020-06-17,1181254
109,124,2020-06-18,1197335
110,125,2020-06-19,1205373
111,126,2020-06-20,1221267
112,127,2020-06-21,1240069
113,128,2020-06-22,1248996
114,129,2020-06-23,1267086
115,130,2020-06-24,1284854
116,131,2020-06-25,1313222
117,132,2020-06-26,1344323
118,133,2020-06-27,1375122
119,134,2020-06-28,1404148
120,135,2020-06-29,1425896
121,136,2020-06-30,1446303
122,137,2020-07-01,1477872
123,138,2020-07-02,1509533
124,139,2020-07-03,1547981
125,140,2020-07-04,1573651
126,141,2020-07-05,1591127
127,142,2020-07-06,1607773
128,143,2020-07-07,1632981
129,144,2020-07-08,1657639
130,145,2020-07-09,1685629
131,146,2020-07-10,1724283
132,147,2020-07-11,1757816
133,148,2020-07-12,1789332
134,149,2020-07-13,1823096
135,150,2020-07-14,1838568
136,151,2020-07-15,1864873
137,152,2020-07-16,1904741
138,153,2020-07-17,1918752
139,154,2020-07-18,1948513
140,155,2020-07-19,1987043
141,156,2020-07-20,2002698
142,157,2020-07-21,2033506
143,158,2020-07-22,2049497
144,159,2020-07-23,2082380
145,160,2020-07-24,2112418
146,161,2020-07-25,2146421
147,162,2020-07-26,2174787
148,163,2020-07-27,2190326
149,164,2020-07-28,2205287
150,165,2020-07-29,2211951
151,166,2020-07-30,2239982
152,167,2020-07-31,2269424
153,168,2020-08-01,2293219
154,169,2020-08-02,2326070
155,170,2020-08-03,2308195
156,171,2020-08-04,2327222
157,172,2020-08-05,2322767
158,173,2020-08-06,2345679
159,174,2020-08-07,2368266
160,175,2020-08-08,2402253
161,176,2020-08-09,2424855
162,177,2020-08-10,2423110
163,178,2020-08-11,2436890
164,179,2020-08-12,2433960
165,180,2020-08-13,2456146
166,181,2020-08-14,2483679
167,182,2020-08-15,2505918
168,183,2020-08-16,2524914
169,184,2020-08-17,2516371
170,185,2020-08-18,2521626
171,186,2020-08-19,2514644
172,187,2020-08-20,2526503
173,188,2020-08-21,2544313
174,189,2020-08-22,2568044
175,190,2020-08-23,2582336
176,191,2020-08-24,2571911
177,192,2020-08-25,2575018
178,193,2020-08-26,2559798
179,194,2020-08-27,2571247
180,195,2020-08-28,2592315
181,196,2020-08-29,2601161
182,197,2020-08-30,2619318
183,198,2020-08-31,2626878
184,199,2020-09-01,2627569
185,200,2020-09-02,2617840
186,201,2020-09-03,2613639
187,202,2020-09-04,2585382
188,203,2020-09-05,2597277
189,204,2020-09-06,2610529
190,205,2020-09-07,2603349
191,206,2020-09-08,2593562
192,207,2020-09-09,2578720
193,208,2020-09-10,2584000
194,209,2020-09-11,2591972
195,210,2020-09-12,2598580
196,211,2020-09-13,2606982
197,212,2020-09-14,2591992
198,213,2020-09-15,2587443
199,214,2020-09-16,2576009
200,215,2020-09-17,2585983
201,216,2020-09-18,2599936
202,217,2020-09-19,2610089
203,218,2020-09-20,2616905
204,219,2020-09-21,2605134
205,220,2020-09-22,2593468
206,221,2020-09-23,2581479
207,222,2020-09-24,2587430
208,223,2020-09-25,2597061
209,224,2020-09-26,2596284
210,225,2020-09-27,2593536
211,226,2020-09-28,2581216
212,227,2020-09-29,2585575
213,228,2020-09-30,2574515
