,open,high,low,close,adjclose,volume,ticker
2020-07-31,22.100000381469727,22.350000381469727,16.770000457763672,18.850000381469727,18.850000381469727,11079900,VSTA
2020-08-03,18.540000915527344,19.43000030517578,18.0,19.0,19.0,627600,VSTA
2020-08-04,19.0,19.0,17.760000228881836,18.020000457763672,18.020000457763672,864900,VSTA
2020-08-05,18.020000457763672,18.434999465942383,17.420000076293945,17.5,17.5,1755000,VSTA
2020-08-06,17.5,18.329999923706055,17.5,17.530000686645508,17.530000686645508,528300,VSTA
2020-08-07,17.530000686645508,18.0,17.020000457763672,17.799999237060547,17.799999237060547,669200,VSTA
2020-08-10,17.899999618530273,18.165000915527344,17.889999389648438,18.010000228881836,18.010000228881836,361700,VSTA
2020-08-11,17.950000762939453,18.200000762939453,17.891000747680664,18.149999618530273,18.149999618530273,494600,VSTA
2020-08-12,18.100000381469727,18.600000381469727,17.950000762939453,18.049999237060547,18.049999237060547,500600,VSTA
2020-08-13,18.139999389648438,18.360000610351562,17.850000381469727,18.299999237060547,18.299999237060547,429800,VSTA
2020-08-14,18.260000228881836,19.190000534057617,18.100000381469727,19.020000457763672,19.020000457763672,496100,VSTA
2020-08-17,19.0,19.0,18.209999084472656,18.239999771118164,18.239999771118164,204200,VSTA
2020-08-18,18.1299991607666,18.3799991607666,17.420000076293945,18.18000030517578,18.18000030517578,317500,VSTA
2020-08-19,18.020000457763672,18.174999237060547,17.739999771118164,18.049999237060547,18.049999237060547,154800,VSTA
2020-08-20,17.950000762939453,18.510000228881836,17.40999984741211,18.510000228881836,18.510000228881836,370500,VSTA
2020-08-21,18.299999237060547,18.299999237060547,16.6200008392334,16.8799991607666,16.8799991607666,1162900,VSTA
2020-08-24,16.690000534057617,16.815000534057617,15.3149995803833,16.020000457763672,16.020000457763672,519700,VSTA
2020-08-25,16.5,16.850000381469727,16.0,16.110000610351562,16.110000610351562,965900,VSTA
2020-08-26,16.3700008392334,16.3700008392334,15.630000114440918,15.710000038146973,15.710000038146973,510700,VSTA
2020-08-27,15.649999618530273,15.699999809265137,14.40999984741211,14.720000267028809,14.720000267028809,697800,VSTA
2020-08-28,14.760000228881836,15.729999542236328,14.729999542236328,15.319999694824219,15.319999694824219,892200,VSTA
2020-08-31,15.699999809265137,17.239999771118164,15.699999809265137,15.710000038146973,15.710000038146973,307400,VSTA
2020-09-01,16.020000457763672,16.1299991607666,15.100000381469727,15.899999618530273,15.899999618530273,267900,VSTA
2020-09-02,16.687000274658203,16.739999771118164,15.25,15.479999542236328,15.479999542236328,410800,VSTA
2020-09-03,15.489999771118164,15.510000228881836,15.109999656677246,15.3100004196167,15.3100004196167,233200,VSTA
2020-09-04,15.3100004196167,15.710000038146973,15.300000190734863,15.420000076293945,15.420000076293945,328000,VSTA
2020-09-08,15.670000076293945,15.670000076293945,15.050000190734863,15.3100004196167,15.3100004196167,256800,VSTA
2020-09-09,15.350000381469727,15.739999771118164,14.90999984741211,15.329999923706055,15.329999923706055,385600,VSTA
2020-09-10,15.399999618530273,16.31999969482422,15.010000228881836,15.470000267028809,15.470000267028809,421000,VSTA
2020-09-11,15.739999771118164,15.739999771118164,15.244999885559082,15.399999618530273,15.399999618530273,276000,VSTA
2020-09-14,15.489999771118164,16.149999618530273,14.520000457763672,14.529999732971191,14.529999732971191,429200,VSTA
2020-09-15,14.640000343322754,15.460000038146973,14.625,15.289999961853027,15.289999961853027,282400,VSTA
2020-09-16,15.180000305175781,15.949999809265137,15.180000305175781,15.760000228881836,15.760000228881836,177100,VSTA
2020-09-17,15.75,16.200000762939453,15.0,16.0,16.0,409800,VSTA
2020-09-18,16.450000762939453,16.770000457763672,15.819999694824219,16.209999084472656,16.209999084472656,403200,VSTA
2020-09-21,16.0,16.5,15.229999542236328,15.979999542236328,15.979999542236328,176800,VSTA
2020-09-22,15.899999618530273,16.344999313354492,15.140000343322754,15.630000114440918,15.630000114440918,274600,VSTA
2020-09-23,15.460000038146973,15.800000190734863,15.0,15.3100004196167,15.3100004196167,188900,VSTA
2020-09-24,15.270000457763672,16.059999465942383,14.725000381469727,15.359999656677246,15.359999656677246,287700,VSTA
2020-09-25,15.359999656677246,15.850000381469727,14.829999923706055,15.630000114440918,15.630000114440918,214600,VSTA
2020-09-28,15.640000343322754,16.239999771118164,15.220000267028809,15.6899995803833,15.6899995803833,212800,VSTA
2020-09-29,15.579999923706055,15.739999771118164,14.8100004196167,15.40999984741211,15.40999984741211,274400,VSTA
2020-09-30,15.289999961853027,15.635000228881836,15.020000457763672,15.430000305175781,15.430000305175781,187000,VSTA
